Id,Title,Author,Date,Year,Url,Source name,Source type,Content type,Content,Industry setting
1,"The microservice architecture is meant to simplify and accelerate development, but only when done correctly",Chris Richardson,2023-07-06,2023,https://microservices.io/post/architecture/2023/07/06/msa-is-meant-to-simplify-development.md.html,microservices.io,ad-hoc blog,blog post,best practices,consulting
2,You Don’t Need Microservices,Matthew Spence,2022-07-27,2022,https://itnext.io/you-dont-need-microservices-2ad8508b9e27,itnext.io,community,blog post,pros & cons,case study
3,What’s the right size for a Microservice,Kyle Gene Brown,2020-04-14,2020,https://kylegenebrown.medium.com/whats-the-right-size-for-a-microservice-bf1740370d47,Kyle Gene Brown,ad-hoc blog,blog post,best practices,consulting
4,Microservices Lessons From Netflix,Neo Kim,2023-10-31,2023,https://newsletter.systemdesign.one/p/netflix-microservices,System Design Newsletter,community,blog post,patterns,case study
5,Don’t start with microservices in production – monoliths are your friend,Arnold Galovics,2021-12-16,2021,https://arnoldgalovics.com/microservices-in-production/,Arnold Galovics,ad-hoc blog,blog post,best practices,case study
6,Disasters I've seen in a microservices world,João Alves,2021-04-02,2021,https://world.hey.com/joaoqalves/disasters-i-ve-seen-in-a-microservices-world-a9137a51,João Alves,ad-hoc blog,blog post,pros & cons,consulting
8,The disadvantages vs. benefits of microservices,Bob ReselMan,2022-01-25,2022,https://developers.redhat.com/articles/2022/01/25/disadvantages-microservices#,Red Had Developer,community,blog post,pros & cons,consulting
9,10 disadvantages of microservices you'll need to overcome,Bob Reselman,2023-11-16,2023,https://www.theserverside.com/answer/What-are-some-of-the-disadvantages-of-microservices,TheServerSide,community,blog post,pros & cons,consulting
10,Microservices Disadvantages & Advantages,3 Pillar Global,2020-12-30,2020,https://www.3pillarglobal.com/insights/disadvantages-of-a-microservices-architecture/,3 Pillar Global,company,blog post,pros & cons,consulting
11,"Microservices Architecture Advantages and Disadvantages, Risks, and 5 Use Cases",Paul Kovalenko,2021-08-18,2021,https://modlogix.com/blog/microservices-architecture-advantages-and-disadvantages-risks-and-5-use-cases/,ModLogix,company,blog post,pros & cons,consulting
12,Advantages and Disadvantages of Microservices Architecture,Ranju R,2021-06-29,2021,https://www.sayonetech.com/blog/advantages-microservices-architecture-disadvantages-microservices-architecture/,Sayone,company,blog post,pros & cons,consulting
13,What Are Advantages & Disadvantages of Microservices Architecture?,Trung Tran,2022-03-31,2022,https://www.orientsoftware.com/blog/microservices-advantages-and-disadvantages/,Orient,company,blog post,pros & cons,consulting
14,6 Advantages of microservices,Dale Kim,2020-10-15,2020,https://devops.com/6-advantages-of-microservices/,Devops.com,community,blog post,pros & cons,consulting
15,The Pros and Cons of Microservices: To Use or Not to Use,Yellow,2021-02-05,2021,https://yellow.systems/blog/microservices-pros-and-cons,yellow,company,blog post,pros & cons,consulting
16,"What are microservices? The pros, cons, and how they work",Anna Monus,2022-12-20,2022,https://raygun.com/blog/what-are-microservices/,Raygun,company,blog post,pros & cons,product
18,The pros and cons of moving to a cloud native architecture,Sue Marek,2021-06-07,2021,https://www.nokia.com/blog/the-pros-and-cons-of-moving-to-a-cloud-native-architecture/,Nokia,company,blog post,pros & cons,case study
21,What are Microservices?,AKF,2020-04-14,2020,https://akfpartners.com/growth-blog/what-are-microservices,akf partners,company,blog post,pros & cons,consulting
22,Anti-Patterns of Microservices,Bishr Tabbaa,2019-06-19,2019,https://itnext.io/anti-patterns-of-microservices-6e802553bd46,iitnext.io,community,blog post,patterns,consulting
23,When to Use Microservices (And When Not To!),Sam Newman,2020-10-03,2020,https://www.youtube.com/watch?v=GBTdnfD6s5Q,goto,summit,video,best practices,consulting
24,Pitfalls & Challenges Faced During a Microservices Architecture Implementation,"Dinkar Gupta, Mrudul Palvankar",2020-02-01,2020,https://www.cognizant.com/en_us/insights/documents/pitfalls-and-challenges-faced-during-a-microservices-architecture-implementation-codex5066.pdf,Cognizant,company,whitepaper,pros & cons,consulting
25,What are Microservices?,Frederico Hakamine,2021-02-16,2021,https://www.okta.com/blog/2021/02/microservices/,Okta,company,blog post,pros & cons,product
26,Microservices: Advantages and Disadvantages (And Whether They're Right For Your Business),Roxanne Voidonicolas,2023-03-22,2023,https://www.shopify.com/enterprise/blog/disadvantages-microservices,Shopify,company,blog post,pros & cons,consulting
27,Top Advantages and Disadvantages of Microservices: Biggest Benefits of Microservices and Key Use Cases,Danny Shain,2023-02-09,2023,https://camunda.com/blog/2023/02/benefits-of-microservices-advantages-disadvantages/,Camunda,company,blog post,pros & cons,product
28,Microservices: Pros and Cons,Danielle Gaither,2023-02-08,2023,https://blog.stoplight.io/microservices-pros-and-cons,Stoplight,company,blog post,pros & cons,product
29,Microservices Advantages and Disadvantages: Everything You Need to Know,Sarah Diguer,2020-06-01,2020,https://solace.com/blog/microservices-advantages-and-disadvantages/,Solace,company,blog post,pros & cons,consulting
30,Microservices: the Pros and Cons of Cloud Native's Architecture,Krijn Mossel,2021-02-25,2021,https://blog.container-solutions.com/microservices-pros-and-cons-of-cloud-natives-architecture,Container Solutions,company,blog post,pros & cons,consulting
31,What are the benefits of a microservices architecture?,Gitlab,2022-09-29,2022,https://about.gitlab.com/blog/2022/09/29/what-are-the-benefits-of-a-microservices-architecture/,Gitlab,company,blog post,pros & cons,consulting
32,Monolithic vs Microservice Architecture- Pros and Cons,Decipher Zone,2019-09-02,2019,https://www.decipherzone.com/blog-detail/Monolithic-vs-Microservice-Architecture,Decipher Zone,company,blog post,pros & cons,consulting
33,The Pros and Cons of Microservices ,Rod Cope,2020-08-25,2020,https://www.devopsdigest.com/the-pros-and-cons-of-microservices,Devops digest,community,blog post,pros & cons,consulting
34,To go or not to go micro: the pros and cons of microservices,"Daniel Requejo, Fernando Villanueva",2018-08-16,2018,https://medium.com/@goodrebels/to-go-or-not-to-go-micro-the-pros-and-cons-of-microservices-7967418ff06,Good Rebels,company,blog post,pros & cons,consulting
35,Microservices pros and cons,Cortex,2022-02-09,2022,https://www.cortex.io/post/microservices-pros-and-cons,Cortex,company,blog post,pros & cons,product
36,"Monolithic vs Microservices: Features, Pros & Cons, and Real-World Use Cases",Melissa Malec,2024-02-12,2024,https://hatchworks.com/blog/software-development/monolithic-vs-microservices/,Hatchworks,company,blog post,pros & cons,consulting
37,"What Are Microservices: Pros, Cons, Use Cases, and More",Hiren Dhaduk,2022-03-10,2022,https://www.simform.com/blog/what-are-microservices/,SimForm,company,blog post,pros & cons,consulting
38,Microservices vs Monolith: The Ultimate Comparison 2024,Alfonso Valdes,2021-03-10,2021,https://www.clickittech.com/devops/microservices-vs-monolith,ClickIT,company,blog post,pros & cons,case study
39,What are Microservices? Advantages and Disadvantages of Microservices,fram,2022-06-24,2022,https://wearefram.com/blog/microservices-advantages-disadvantages/,fram,company,blog post,pros & cons,consulting
40,The Pros and Cons of Microservices,Wanter Lindsa,2019-01-04,2019,https://blogs.opentext.com/pros-cons-microservices/,Opentext,company,blog post,pros & cons,consulting
41,4 Major Benefits and Advantages of Microservices,Ashish Patel,2021-09-15,2021,https://simpat.tech/benefits-microservices/,Simpat Tech,company,blog post,pros & cons,consulting
42,Microservices Vs Monolith: The never ending battle,Animesh Gaitonde,2023-08-29,2023,https://engineeringatscale.substack.com/p/microservices-vs-monolith-battle,Engineering At Scale,ad-hoc blog,blog post,pros & cons,consulting
43," Monolithic vs Microservices Architecture: Pros, Cons and Which to Choose",Angela Davis,2023-10-09,2023,https://www.openlegacy.com/blog/monolithic-application,OpenLegacy,company,blog post,pros & cons,consulting
44,Navigating the Microservices Maze: Understanding the Pros and Cons of Microservices Architectures,Stephen Gates,2023-01-11,2023,https://checkmarx.com/blog/navigating-the-microservices-maze-understanding-the-pros-and-cons-of-microservices-architectures/,Checkmarx,company,blog post,pros & cons,consulting
45,7 Key Benefits of Microservices,Jeremy Hillpot,2023-06-20,2023,https://blog.dreamfactory.com/7-key-benefits-of-microservices/,DreamFactory,company,blog post,pros & cons,product
46,10 Benefits of Microservices Architecture for Business,Digiteum,2023-02-21,2023,https://www.digiteum.com/advantages-microservices-architecture/,Digiteum,company,blog post,pros & cons,consulting
47,Monolithic vs Microservices Architecture for .NET ,Dmitry Yerygin,2020-04-23,2020,https://redwerk.com/blog/net-monolithic-vs-microservices-applications-pros-and-cons/,Redwerk,company,blog post,pros & cons,consulting
48,Microservices Pros and Cons,Curtis Poe,2023-12-20,2023,https://ovid.github.io/articles/microservices-pros-and-cons.html,"Ovid's Programming, Politics, and Prose",ad-hoc blog,blog post,pros & cons,consulting
49,Introduction to microservices,Google Cloud,2021-06-24,2021,https://cloud.google.com/architecture/microservices-architecture-introduction,Google,company,blog post,pros & cons,product
50,Monolith Versus Microservices: Weigh the Pros and Cons of Both Configs,Pavel Despot,2023-12-16,2023,https://www.akamai.com/blog/cloud/monolith-versus-microservices-weigh-the-difference,Akamai,company,blog post,pros & cons,product
51,Top 4 Pros and Cons of Microservices Architecture,Mike Solinap,2018-01-31,2018,https://www.spkaa.com/blog/top-4-pros-cons-microservices-architecture-2,SPK and Associates,company,blog post,pros & cons,consulting
52,"Monolithic vs Microservices Architecture: Advantages, Disadvantages, And Differences",Akash Nagpal,2023-11-30,2023,https://www.lambdatest.com/blog/monolithic-vs-microservices-architecture/,Lambdatest,company,blog post,pros & cons,product
53,Monolithic vs Microservices Architecture: Pros and Cons,Intellisoft,2023-07-06,2023,https://medium.com/@IntelliSoft/monolithic-vs-microservices-architecture-pros-and-cons-cb54d1bca080,IntelliSoft,company,blog post,pros & cons,consulting
54,What are Microservices? Introduction to Microservices Architecture,Sofija Simic,2019-12-26,2019,https://phoenixnap.com/kb/introduction-to-microservices-architecture,PhoenixNAP,company,blog post,pros & cons,product
55,Microservices vs. Monolith: What Is the Best Pick for Your Product?,Tanya Bahrynovska,2022-03-23,2022,https://forbytes.com/blog/microservices-vs-monolith/,Forbytes,company,blog post,pros & cons,consulting
56,Monolithic vs Microservice Architecture: What to Choose for a Large eCommerce Project,Gayane Tamrazyan,2023-11-30,2023,https://simtechdev.com/blog/monolithic-vs-microservice-architecture/,Simtech,company,blog post,pros & cons,consulting
57,The Pros and Cons of a Microservices Approach to Software Architecture,Michelle Sollicito,2018-03-26,2018,https://www.linkedin.com/pulse/pros-cons-microservices-approach-software-michelle-sollicito/,LinkedIn,community,blog post,pros & cons,consulting
58,Microservice Architecture: Unveiling the Advantages and Disadvantages,,2021-09-15,2021,https://qubit-labs.com/microservices-frameworks-and-interview-questions/,Qubit labs,company,blog post,pros & cons,consulting
59,The Fundamentals of Microservices: Use Cases and Benefits,Keith D Foote,2018-08-08,2018,https://www.dataversity.net/the-fundamentals-of-microservices/,Dataversity,community,blog post,patterns,case study
60,Microservices vs. Monolithic Architecture: Compare Pros and Cons for Business,Digiteum,2023-11-03,2023,https://www.digiteum.com/monolithic-vs-microservices-architecture/,Digiteum,company,blog post,pros & cons,consulting
61,7 Microservices Benefits and How They Impact Development ,Joel Abbott,2020-08-06,2020,https://www.capitalone.com/tech/software-engineering/microservices-benefits/,CapitalOne,company,blog post,pros & cons,consulting
62,Microservices vs. Monolithic Architecture: Breaking Down the Pros and Cons,Aleksander Furgal,2023-04-25,2023,https://asperbrothers.com/blog/microservices-vs-monolithic-architecture/,Asper Brothers,company,blog post,pros & cons,consulting
